Portal,Domain,Topic,Detailed Skill / Tool,Type,Level,Learning Format,Official Source URL,Verified Date,Notes
W3Schools,Data & Databases,Databases,MongoDB,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,Database design,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,Queries,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,Joins,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,Stored procedures,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,NumPy,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,Pandas,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,SciPy,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,Matplotlib,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,Statistics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,Data cleaning,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Data Science,Machine learning basics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Business Tools,Excel formulas,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Business Tools,Excel functions,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Business Tools,Excel charts,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Business Tools,Excel data analysis,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Cloud,AWS fundamentals,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Cloud,AWS compute,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Cloud,AWS storage,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Cloud,AWS databases,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Cloud,AWS development tools,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",AI,Artificial intelligence fundamentals,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",AI,Generative AI,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",AI,Machine learning workflow,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",AI,Prompting basics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Security,Cybersecurity fundamentals,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Security,Web security,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Security,Password security,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,"Cloud, AI & Security",Security,Network security basics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Version Control,Git,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Version Control,GitHub,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Version Control,Branches,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Version Control,Merging,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Version Control,Pull requests,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Developer Workflow,Code editors,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Developer Workflow,Command line,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Developer Workflow,Package managers,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Developer Workflow,Web hosting,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Developer Tools,Developer Workflow,Deployment basics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Arrays,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Linked lists,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Stacks,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Queues,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Trees,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Graphs,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Heaps,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Hashing,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Data Structures,Tries,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Sorting,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Searching,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Greedy algorithms,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Dynamic programming,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Backtracking,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,Graph algorithms,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Algorithms,String algorithms,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,Operating systems,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,Computer networks,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,DBMS,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,Object-oriented design,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,Computer organization,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Computer Science Foundations,Core CS,Theory of computation,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,C,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,C++,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,Java,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,Python,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,JavaScript,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,C#,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,Go,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,Kotlin,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Languages,Rust,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Competitive Programming,Complexity analysis,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Competitive Programming,Problem solving,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Competitive Programming,Contest strategy,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Programming,Competitive Programming,Mathematics for coding,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Web & Mobile Development,Frontend,HTML,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Web & Mobile Development,Frontend,CSS,Skill / Topic,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Web & Mobile Development,Frontend,JavaScript,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Web & Mobile Development,Frontend,React,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
GeeksforGeeks,Web & Mobile Development,Frontend,Angular,Tool / Platform,Varies,"Articles, tutorials, practice problems, courses, contests, interview preparation",https://www.geeksforgeeks.org/courses,46225,Catalog-level coverage; verify individual offerings on portal.
